City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Observatory,Condo Apartment,45,0.76,69181.0,630540.0,Observatory_Condo_Apartment_Matrix.csv
Waterdown,Condo Apartment,91,0.76,34311.0,475425.0,Waterdown_Condo_Apartment_Matrix.csv
South W,Townhouse,43,0.75,45754.0,541114.0,South_W_Townhouse_Matrix.csv
1006 - FD Ford,Detached,100,0.75,235875.0,2156511.0,1006_-_FD_Ford_Detached_Matrix.csv
1019 - WM Westmount,Townhouse,160,0.75,64888.0,939050.0,1019_-_WM_Westmount_Townhouse_Matrix.csv
Lawrence Park South,Condo Apartment,42,0.75,438142.0,1469739.0,Lawrence_Park_South_Condo_Apartment_Matrix.csv
Windfields,Condo Apartment,53,0.75,26362.0,413543.0,Windfields_Condo_Apartment_Matrix.csv
Bay Street Corridor,Condo Apartment,619,0.75,106348.0,756155.0,Bay_Street_Corridor_Condo_Apartment_Matrix.csv
Waterfront Communities C1,Condo Apartment,1926,0.75,76501.0,726098.0,Waterfront_Communities_C1_Condo_Apartment_Matrix.csv
Woodstock - North,Detached,484,0.75,68409.0,679130.0,Woodstock_-_North_Detached_Matrix.csv
Painswick North,Detached,82,0.75,40361.0,739601.0,Painswick_North_Detached_Matrix.csv
Milliken,Detached,104,0.75,78999.0,1197415.0,Milliken_Detached_Matrix.csv
Islington-City Centre West,Townhouse,80,0.75,90205.0,961823.0,Islington-City_Centre_West_Townhouse_Matrix.csv
Banbury-Don Mills,Detached,117,0.75,348288.0,2425566.0,Banbury-Don_Mills_Detached_Matrix.csv
Mount Pleasant West,Condo Apartment,612,0.75,69382.0,672442.0,Mount_Pleasant_West_Condo_Apartment_Matrix.csv
1032 - FO Ford,Detached,95,0.75,86233.0,1279016.0,1032_-_FO_Ford_Detached_Matrix.csv
Campbellford,Detached,89,0.75,71602.0,555055.0,Campbellford_Detached_Matrix.csv
Bayview Village,Condo Apartment,397,0.75,63150.0,640333.0,Bayview_Village_Condo_Apartment_Matrix.csv
7706 - Barrhaven - Longfields,Townhouse,158,0.74,29717.0,573047.0,7706_-_Barrhaven_-_Longfields_Townhouse_Matrix.csv
Mt Albert,Detached,76,0.74,130163.0,1065482.0,Mt_Albert_Detached_Matrix.csv
South East,Detached,223,0.74,76245.0,966658.0,South_East_Detached_Matrix.csv
Bay Ridges,Detached,83,0.74,65786.0,992695.0,Bay_Ridges_Detached_Matrix.csv
Moss Park,Condo Apartment,390,0.74,66375.0,624830.0,Moss_Park_Condo_Apartment_Matrix.csv
Headon,Townhouse,77,0.74,58403.0,763813.0,Headon_Townhouse_Matrix.csv
Observatory,Detached,46,0.74,259853.0,2174739.0,Observatory_Detached_Matrix.csv
Applewood,Condo Apartment,62,0.74,45326.0,509651.0,Applewood_Condo_Apartment_Matrix.csv
Englemount-Lawrence,Detached,67,0.74,260894.0,1913546.0,Englemount-Lawrence_Detached_Matrix.csv
717 - Cornwall,Condo Apartment,49,0.74,31166.0,352857.0,717_-_Cornwall_Condo_Apartment_Matrix.csv
1038 - WI Willmott,Detached,67,0.74,66448.0,1187161.0,1038_-_WI_Willmott_Detached_Matrix.csv
Port Credit,Condo Apartment,69,0.74,161406.0,895876.0,Port_Credit_Condo_Apartment_Matrix.csv
Willowdale East,Condo Apartment,681,0.74,57310.0,663217.0,Willowdale_East_Condo_Apartment_Matrix.csv
912 - Mississippi Mills (Ramsay) Twp,Detached,90,0.73,93875.0,833006.0,912_-_Mississippi_Mills_(Ramsay)_Twp_Detached_Matrix.csv
Yorkdale-Glen Park,Condo Apartment,96,0.73,36723.0,506526.0,Yorkdale-Glen_Park_Condo_Apartment_Matrix.csv
Niagara,Condo Apartment,772,0.73,60152.0,669611.0,Niagara_Condo_Apartment_Matrix.csv
Village East,Townhouse,58,0.73,21984.0,698719.0,Village_East_Townhouse_Matrix.csv
Niagara,Townhouse,171,0.73,109406.0,940845.0,Niagara_Townhouse_Matrix.csv
Lakeview,Townhouse,88,0.73,95533.0,732276.0,Lakeview_Townhouse_Matrix.csv
Meadowlands,Townhouse,60,0.73,35860.0,755494.0,Meadowlands_Townhouse_Matrix.csv
Oakwood Village,Detached,145,0.73,191465.0,1351234.0,Oakwood_Village_Detached_Matrix.csv
High Park North,Condo Apartment,81,0.73,84207.0,845772.0,High_Park_North_Condo_Apartment_Matrix.csv
Princess-Rosethorn,Detached,157,0.73,354100.0,2096837.0,Princess-Rosethorn_Detached_Matrix.csv
Stratford,Condo Apartment,46,0.73,82889.0,498380.0,Stratford_Condo_Apartment_Matrix.csv
Yonge-Eglinton,Condo Apartment,77,0.73,66964.0,662507.0,Yonge-Eglinton_Condo_Apartment_Matrix.csv
Mimico,Condo Apartment,704,0.73,64351.0,685388.0,Mimico_Condo_Apartment_Matrix.csv
East York,Detached,108,0.72,167752.0,1360253.0,East_York_Detached_Matrix.csv
1601 - Greely,Detached,152,0.72,140567.0,1102029.0,1601_-_Greely_Detached_Matrix.csv
1003 - CP College Park,Detached,83,0.72,170931.0,1355275.0,1003_-_CP_College_Park_Detached_Matrix.csv
Courtice,Detached,340,0.72,73263.0,886501.0,Courtice_Detached_Matrix.csv
1029 - DE Dempsey,Condo Apartment,81,0.72,38852.0,591844.0,1029_-_DE_Dempsey_Condo_Apartment_Matrix.csv
Shoreacres,Detached,162,0.72,223975.0,1584949.0,Shoreacres_Detached_Matrix.csv
Shelburne,Detached,139,0.72,61828.0,760211.0,Shelburne_Detached_Matrix.csv
Clanton Park,Detached,90,0.72,167098.0,1617803.0,Clanton_Park_Detached_Matrix.csv
Woodbine-Lumsden,Detached,123,0.71,123136.0,1127016.0,Woodbine-Lumsden_Detached_Matrix.csv
Ardagh,Detached,145,0.71,65177.0,883989.0,Ardagh_Detached_Matrix.csv
Kortright West,Condo Apartment,43,0.71,35562.0,514411.0,Kortright_West_Condo_Apartment_Matrix.csv
39 - North of Taylor-Kidd Blvd,Detached,130,0.71,55188.0,697430.0,39_-_North_of_Taylor-Kidd_Blvd_Detached_Matrix.csv
Aurora Highlands,Detached,144,0.71,177623.0,1524723.0,Aurora_Highlands_Detached_Matrix.csv
